duration,protocol,psize,flag,hlength,hopcount,lifetime,message type,dsn,msn,si,land,mode,neighbor,hflow,aflow,lflow,avghopcount,nfc,frate,label
0,AODV,84,0,28,0,2000,Route Reply,0,0,0,0,0,1,110,211,101,0.0780487805,206,100,normal
0.028136,AODV,84,0,28,0,2000,Route Reply,0,1,0,0,0,1,110,211,101,0.0780487805,206,100,normal
0.972864,AODV,84,0,28,0,2000,Route Reply,0,0,1,0,0,1,110,211,101,0.0780487805,206,100,normal
0.028136,AODV,84,0,28,0,2000,Route Reply,0,1,1,0,0,1,110,211,101,0.0780487805,206,100,normal
0.967864,AODV,84,0,28,0,2000,Route Reply,0,0,2,0,0,1,110,211,101,0.0780487805,206,100,normal
0.024136,AODV,84,0,28,0,2000,Route Reply,0,1,2,0,0,1,110,211,101,0.0780487805,206,100,normal
0.978864,AODV,84,0,28,0,2000,Route Reply,0,0,3,0,0,1,110,211,101,0.0780487805,206,100,normal
0.028136,AODV,84,0,28,0,2000,Route Reply,0,1,3,0,0,1,110,211,101,0.0780487805,206,100,normal
0.971864,AODV,84,0,28,0,2000,Route Reply,0,0,4,0,0,1,110,211,101,0.0780487805,206,100,normal
0.026136,AODV,84,0,28,0,2000,Route Reply,0,1,4,0,0,1,110,211,101,0.0780487805,206,100,normal
0.975864,AODV,84,0,28,0,2000,Route Reply,0,0,5,0,0,1,110,211,101,0.0780487805,206,100,normal
0.018136,AODV,84,0,28,0,2000,Route Reply,0,1,5,0,0,1,110,211,101,0.0780487805,206,100,normal
0.982864,AODV,84,0,28,0,2000,Route Reply,0,0,6,0,0,1,110,211,101,0.0780487805,206,100,normal
0.021136,AODV,84,0,28,0,2000,Route Reply,0,1,6,0,0,1,110,211,101,0.0780487805,206,100,normal
0.975864,AODV,84,0,28,0,2000,Route Reply,0,0,7,0,0,1,110,211,101,0.0780487805,206,100,normal
0.025136,AODV,84,0,28,0,2000,Route Reply,0,1,7,0,0,1,110,211,101,0.0780487805,206,100,normal
0.981864,AODV,84,0,28,0,2000,Route Reply,0,0,8,0,0,1,110,211,101,0.0780487805,206,100,normal
0.017136,AODV,84,0,28,0,2000,Route Reply,0,1,8,0,0,1,110,211,101,0.0780487805,206,100,normal
0.982864,AODV,84,0,28,0,2000,Route Reply,0,0,9,0,0,1,110,211,101,0.0780487805,206,100,normal
0.015136,AODV,84,0,28,0,2000,Route Reply,0,1,9,0,0,1,110,211,101,0.0780487805,206,100,normal
0.982864,AODV,84,0,28,0,2000,Route Reply,0,0,10,0,0,1,110,211,101,0.0780487805,206,100,normal
0.017136,AODV,84,0,28,0,2000,Route Reply,0,1,10,0,0,1,110,211,101,0.0780487805,206,100,normal
0.983864,AODV,84,0,28,0,2000,Route Reply,0,0,11,0,0,1,110,211,101,0.0780487805,206,100,normal
0.016136,AODV,84,0,28,0,2000,Route Reply,0,1,11,0,0,1,110,211,101,0.0780487805,206,100,normal
0.980864,AODV,84,0,28,0,2000,Route Reply,0,0,12,0,0,1,110,211,101,0.0780487805,206,100,normal
